;;;;;;;;;;;;;;;;;;ACR - observers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campfire UHD 15 Mbit/H264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CampfireUHD15_0_1;2;2;2;3;2;2;3;3;2;3;3;3;3;2;3;2;2;3;3;3;2;3;3;3;2;2;3;2;3;3;2;3;3;3;2;3;2;2;3;3;3;2;2;3;2;2;3;3;2;3;3;3;3;2;3;2;2;3;3;3;;0.97171;93.81;2.583;0.4972;19.25%;58%;;60;35
CampfireUHD15_0_2;3;3;3;2;3;2;2;2;2;1;2;2;2;2;2;2;2;1;2;3;2;3;3;2;2;2;2;2;2;2;2;3;3;3;2;2;3;2;2;2;2;3;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;0.90976;66.13;2.183;0.4691;21.49%;22%;;60;13
CampfireUHD15_0_3;2;3;2;2;2;3;2;2;2;1;2;2;1;1;1;3;2;2;3;2;2;2;3;3;3;2;2;2;2;2;2;2;3;3;3;2;2;2;2;2;2;3;2;2;2;3;2;2;2;1;2;2;1;2;2;2;2;2;2;2;;0.89397;65.21;2.1;0.5431;25.86%;20%;;60;12
CampfireUHD15_0_5;1;1;1;1;1;1;1;2;2;2;1;2;1;2;2;1;1;1;2;1;1;1;1;2;2;2;1;1;1;1;1;1;1;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;1;2;2;1;1;1;2;1;;0.86306;60.35;1.317;0.4691;35.63%;0%;;60;0
CampfireUHD15_0_75 ;1;1;2;1;1;2;1;1;1;1;1;1;1;1;3;1;1;1;2;1;1;1;1;1;2;1;1;2;2;1;1;1;1;1;2;1;1;2;2;1;1;1;2;1;1;2;1;1;1;1;1;1;1;1;2;1;1;1;2;1;;0.85311;59.46;1.25;0.4739;37.91%;2%;;60;1
CampfireUHD15_1;2;2;1;1;1;1;1;2;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;;0.8421;57.84;1.1;0.3025;27.50%;0%;;60;0
Campfire FHD 10 Mbit/H265 (HEVC);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CampfireXFHD10_0_1;2;2;3;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;3;2;2;2;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;3;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;0.96886;92.61;2.15;0.3601;16.75%;15%;;60;9
CampfireXFHD10_0_2;2;2;2;2;3;2;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;;0.94618;58.64;2.033;0.2582;12.70%;5%;;60;3
CampfireXFHD10_0_3;2;2;2;2;2;1;1;1;2;1;1;2;1;1;2;1;2;2;2;1;1;1;1;1;1;2;1;2;1;1;2;2;2;2;2;1;1;1;2;1;1;2;1;1;2;1;2;2;2;1;1;1;1;1;2;2;1;2;1;1;;0.93739;54.88;1.45;0.5017;34.60%;0%;;60;0
CampfireXFHD10_0_5;2;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;;0.90655;50.69;1.167;0.3758;32.21%;0%;;60;0
CampfireXFHD10_0_75;1;1;2;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;1;2;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;;0.8869;48.29;1.167;0.3758;32.21%;0%;;60;0
CampfireXFHD10_1;1;2;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;1;1;2;1;1;1;1;1;1;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;1;1;2;1;1;1;1;1;1;1;1;;0.85977;45.68;1.2;0.4034;33.61%;0%;;60;0
Campfire FHD 15 Mbit/H265 (HEVC);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CampfireXFHD15_0_1;2;2;2;2;2;3;2;2;3;2;2;2;3;2;3;2;2;2;2;2;2;3;3;2;2;2;2;2;2;2;2;1;1;3;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;3;1;2;2;2;;0.96753;90.47;2.117;0.4544;21.47%;17%;;60;10
CampfireXFHD15_0_2;2;1;2;2;2;3;2;2;3;3;3;2;2;2;3;2;3;3;2;2;1;2;2;2;2;2;2;1;1;2;2;2;2;2;2;3;2;2;2;3;2;2;2;2;3;2;3;3;2;2;1;2;2;2;1;2;2;1;1;2;;0.96659;89.17;2.067;0.5783;27.98%;20%;;60;12
CampfireXFHD15_0_3;1;1;1;2;2;2;2;1;1;2;2;2;1;1;2;1;2;2;2;1;1;2;1;2;1;1;1;1;2;1;1;1;1;2;2;2;2;1;1;2;2;2;1;1;2;1;2;2;2;1;1;2;1;2;1;1;1;1;2;1;;0.93354;82.72;1.467;0.5031;34.30%;0%;;60;0
CampfireXFHD15_0_5;1;1;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;2;1;1;2;1;2;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;2;1;1;2;1;2;1;1;1;1;1;1;;0.89813;70.59;1.2;0.4034;33.61%;0%;;60;0
CampfireXFHD15_0_75;2;1;1;1;1;2;2;1;2;2;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;2;1;2;2;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;;0.87339;27.22;1.2;0.4034;33.61%;0%;;60;0
CampfireXFHD15_1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;0.80862;23.75;1.033;0.181;17.52%;0%;;60;0
Campfire FHD 5 Mbit/H265 (HEVC);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CampfireXFHD5_0_1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;2;3;3;3;2;3;2;3;2;2;3;3;3;3;3;3;3;3;3;3;3;3;2;2;3;3;3;3;3;3;2;3;3;2;3;3;2;3;;0.99029;96.53;2.817;0.3902;13.85%;82%;;60;49
CampfireXFHD5_0_2;2;2;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;3;3;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;3;3;2;2;2;2;2;2;2;2;;0.97517;95.32;2.333;0.4754;20.37%;33%;;60;20
CampfireXFHD5_0_3;1;2;1;2;1;2;2;2;1;2;2;1;2;1;1;1;2;2;1;2;1;1;1;1;1;2;2;2;2;1;1;2;1;2;1;2;2;2;1;2;2;1;2;1;1;1;2;2;1;2;1;1;1;1;1;2;2;2;2;1;;0.9227;82.59;1.5;0.5042;33.61%;0%;;60;0
CampfireXFHD5_0_5;2;1;1;2;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;1;1;1;1;2;1;2;1;1;2;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;1;1;1;1;2;1;;0.91396;40.18;1.267;0.4459;35.21%;0%;;60;0
CampfireXFHD5_0_75;2;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;2;1;1;3;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;;0.90515;38.44;1.15;0.4044;35.17%;2%;;60;1
CampfireXFHD5_1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;;0.88146;37.19;1.1;0.3025;27.50%;0%;;60;0
Campfire HD 10 Mbit/H265 (HEVC);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CampfireXHD10_0_1;4;4;3;3;3;3;3;3;3;3;3;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;3;3;3;3;3;3;3;3;3;4;4;4;4;4;3;3;3;3;;0.96452;63.37;3.233;0.4265;13.19%;100%;;60;60
CampfireXHD10_0_2;3;3;3;3;3;4;3;3;4;3;4;4;4;2;4;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;4;3;4;4;3;3;3;3;2;3;3;3;;0.93799;60.75;3.117;0.4544;14.58%;95%;;60;57
